state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,severity_raw_strict,severity_strict,total_samples,log_coverage,goal_distance,hazard_distance,local_connectivity,action_sample_gap,log_n_best_config_action,log_pair_min_samples,pi_beta_prob_gap
0,0,0,True,2,-1.0108733140913695,3,3,0,0.632455532033676,-2.598060975426111,2.037621039635e-16,1.587187661334741,0,0.0,0.0,0,-2.941119432899005,-3.014535665512085,0.0734162326130798,961,961,961,3,-1.164055287358153,0,0.632455532033676,1.434005688067958,0,0.0,0,0,0.0,0.0,966,6.874198495453294,64,26,1,0.0,6.8690144506657065,6.8690144506657065,0.0
1,0,1,True,4,-0.9891048893624784,3,3,0,0.1999999999999999,-2.598060975426111,2.037621039635e-16,1.6089560860636325,0,0.0,0.0,0,-2.940471282830884,-2.967349052429199,0.0268777695983151,1040,1040,1040,3,-1.1440067510475675,0,0.316227766016838,1.4540542243785433,0,0.0,0,0,0.0,0.0,1279,7.154615356913663,63,25,2,0.0,6.947937068614969,6.947937068614969,0.0
2,0,2,True,4,-0.9664255754044784,3,3,0,0.3999999999999999,-2.598060975426111,2.037621039635e-16,1.6316354000216324,0,0.0,0.0,0,-2.939530707339816,-2.9302492141723637,0.0092814931674523,1235,1235,1235,3,-1.1231974321688218,0,0.316227766016838,1.474863543257289,0,0.0,0,0,0.0,0.0,1588,7.370860166536716,62,24,2,0.0,7.119635638017636,7.119635638017636,0.0
3,0,3,True,4,-0.943655964295454,1,3,1,0.0,-2.598060975426111,2.037621039635e-16,1.6544050111306567,1,1.6544050111306567,0.7033745671017578,1,-2.9384178189861943,-2.85587739944458,0.0825404195416141,3378,3,3,1,-1.1021403136096508,1,0.316227766016838,1.49592066181646,1,1.49592066181646,1,1,1.49592066181646,0.6776248257539891,3836,8.252446090246952,61,23,2,-6.7390407255944,1.3862943611198906,1.3862943611198906,-0.8808935364941135
30,1,0,True,1,-2.9999989435144254,3,3,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000090015486665,-3.130660057067871,0.1306510555192046,1,1,1,3,-4.255455946689682,0,0.7745966692414834,-1.657394971263571,0,0.0,0,0,0.0,0.0,1,0.6931471805599453,67,29,2,0.0,0.6931471805599453,0.6931471805599453,0.0
31,1,1,True,2,-2.9999989435144254,3,3,0,0.948683298050514,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000091827760147,-3.0883820056915283,0.0883728229155136,3,3,3,1,-3.0328265213820997,1,0.7378647873726218,-0.4347655459559885,0,0.0,0,0,0.0,0.0,5,1.791759469228055,66,28,3,0.0,1.3862943611198906,1.3862943611198906,0.0
32,1,2,True,2,-2.999998943514425,1,3,1,-0.1054092553389459,-2.598060975426111,2.037621039635e-16,-0.4019379680883141,0,0.0,0.0,0,-3.0000089748515597,-3.0689897537231445,0.0689807788715852,24,0,0,1,-3.0010017993406817,1,-0.1054092553389459,-0.4029408239145708,0,0.0,0,0,0.0,0.0,27,3.332204510175204,67,29,2,-3.2188758248682006,0.0,0.0,-0.7538583346176893
33,1,3,True,4,-0.9205399078954664,1,1,0,0.3999999999999999,-2.598060975426111,2.037621039635e-16,1.6775210675306444,0,0.0,0.0,0,-2.937481770367163,-2.881727695465088,0.055754074902075,1784,1784,1784,1,-1.0808465537972096,0,0.316227766016838,1.5172144216289012,0,0.0,0,0,0.0,0.0,4793,8.475120414994329,60,22,2,0.0,7.487173694213739,7.487173694213739,0.0
34,1,4,True,2,-0.844441249078721,1,3,1,0.7378647873726218,-2.598060975426111,2.037621039635e-16,1.7536197263473898,1,1.7536197263473898,0.7455559597451475,1,-2.99040017318862,-2.756469488143921,0.2339306850446991,68,115,68,1,-1.0152173268458011,1,0.7378647873726218,1.5828436485803097,1,1.5828436485803097,1,1,1.5828436485803097,0.7169993562777853,183,5.214935757608986,57,19,2,0.5194836865091048,4.7535901911063645,4.23410650459726,0.4551323354244232
35,1,5,True,4,-0.8691580833214572,2,3,1,-0.1999999999999999,-2.598060975426111,2.037621039635e-16,1.7289028921046536,1,1.7289028921046536,0.7350475337740916,1,-2.9920950571853195,-2.753676652908325,0.2384184042769943,168,365,168,2,-1.0372373374606614,1,-0.316227766016838,1.5608236379654494,1,1.5608236379654494,1,1,1.5608236379654494,0.7070246923555176,544,6.300785794663244,58,18,2,0.7727346184782924,5.902633333401366,5.1298987149230735,0.35468795895576477
36,1,6,True,4,-0.8929603865134261,2,3,1,-0.3999999999999999,-2.598060975426111,2.037621039635e-16,1.705100588912685,1,1.705100588912685,0.7249279230433225,1,-2.9927945811818493,-2.7452800273895264,0.2475145537923229,427,592,427,2,-1.0589423110026652,1,-0.316227766016838,1.5391186644234456,1,1.5391186644234456,1,1,1.5391186644234456,0.6971927344918326,1046,6.953684210870537,59,17,2,0.3260712034159292,6.385194398997726,6.059123195581797,0.07032904028892517
37,1,7,True,3,-0.9097882559242538,1,1,0,0.7999999999999999,-2.598060975426111,2.037621039635e-16,1.688272719501857,0,0.0,0.0,0,-2.9932571266511565,-2.8034915924072266,0.1897655342439299,2039,2039,2039,1,-1.0777605991285863,0,0.7999999999999999,1.5203003762975245,0,0.0,0,0,0.0,0.0,2663,7.88758403166028,60,16,2,0.0,7.620705086838262,7.620705086838262,0.0
41,1,11,True,2,-0.9082178213660944,1,3,1,0.7378647873726218,-2.598060975426111,2.037621039635e-16,1.6898431540600165,1,1.6898431540600165,0.718441185175402,1,-2.994787836993102,-2.2260630130767822,0.7687248239163198,9,2,2,1,-3.627217982595484,1,0.7378647873726218,-1.0291570071693732,0,0.0,0,0,0.0,0.0,11,2.4849066497880004,60,12,3,-1.2039728043259361,1.0986122886681098,1.0986122886681098,-0.7402164787054062
61,2,1,True,1,-2.9999989435144254,3,3,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000092180969493,-3.090958833694458,0.0909496155975086,15,15,15,3,-3.0010010872519226,0,0.7745966692414834,-0.4029401118258118,0,0.0,0,0,0.0,0.0,15,2.772588722239781,65,27,3,0.0,2.772588722239781,2.772588722239781,0.0
62,2,2,True,3,-2.999998943514425,0,0,0,0.948683298050514,-2.598060975426111,2.037621039635e-16,-0.4019379680883141,0,0.0,0.0,0,-3.000009226500773,-3.0438239574432373,0.0438147309424641,24,24,24,1,-3.0001526221821084,1,0.1999999999999999,-0.4020916467559976,0,0.0,0,0,0.0,0.0,42,3.7612001156935624,66,28,3,0.0,3.2188758248682006,3.2188758248682006,0.0
63,2,3,True,4,-0.8974787864567646,1,1,0,0.1999999999999999,-2.598060975426111,2.037621039635e-16,1.7005821889693462,0,0.0,0.0,0,-2.9343281603760976,-2.8856201171875,0.0487080431885975,717,717,717,1,-1.059313870185541,0,0.316227766016838,1.53874710524057,0,0.0,0,0,0.0,0.0,1972,7.587310506022615,59,21,2,0.0,6.576469569048224,6.576469569048224,0.0
64,2,4,True,2,-0.8209024885996296,3,3,0,0.948683298050514,-2.598060975426111,2.037621039635e-16,1.7771584868264814,0,0.0,0.0,0,-2.9857756957865407,-2.74794864654541,0.2378270492411305,354,354,354,3,-0.9929483429590856,0,0.948683298050514,1.605112632467025,0,0.0,0,0,0.0,0.0,368,5.910796644040527,56,18,3,0.0,5.872117789475416,5.872117789475416,0.0
65,2,5,True,3,-0.7950151191147465,1,3,1,0.7999999999999999,-2.598060975426111,2.037621039635e-16,1.8030458563113645,1,1.8030458563113645,0.7665696066653576,1,-2.989546177776133,-2.7269413471221924,0.2626048306539408,935,392,392,1,-0.969834672212512,1,0.7999999999999999,1.6282263032135988,1,1.6282263032135988,1,1,1.6282263032135988,0.7375568726107667,1334,7.19668657083435,55,17,3,-0.8678058646083304,5.973809611869261,5.973809611869261,-0.4465292692184448
66,2,6,True,2,-0.8181587662548174,2,2,0,0.948683298050514,-2.598060975426111,2.037621039635e-16,1.7799022091712935,0,0.0,0.0,0,-2.989666606871475,-2.7255213260650635,0.2641452808064115,398,398,398,2,-0.991764624443541,0,0.948683298050514,1.6062963509825698,0,0.0,0,0,0.0,0.0,422,6.0473721790462776,56,18,1,0.0,5.988961416889864,5.988961416889864,0.0
67,2,7,True,4,-0.8873069133936018,3,3,0,0.316227766016838,-2.598060975426111,2.037621039635e-16,1.710754062032509,0,0.0,0.0,0,-2.9933061400194734,-2.785172939300537,0.2081332007189362,187,187,187,3,-1.0572783262619767,0,0.316227766016838,1.540782649164134,0,0.0,0,0,0.0,0.0,2336,7.756623334538858,59,15,2,0.0,5.236441962829949,5.236441962829949,0.0
68,2,8,True,4,-0.8634519768650171,3,3,0,0.3999999999999999,-2.598060975426111,2.037621039635e-16,1.7346089985610935,0,0.0,0.0,0,-2.9930333332015397,-2.63729190826416,0.3557414249373791,212,212,212,3,-1.0355102094278743,0,0.316227766016838,1.5625507659982365,0,0.0,0,0,0.0,0.0,557,6.324358962381311,58,14,2,0.0,5.3612921657094255,5.3612921657094255,0.0
69,2,9,True,3,-0.8393775733285986,1,3,1,-0.3999999999999999,-2.598060975426111,2.037621039635e-16,1.7586834020975122,1,1.7586834020975122,0.7477087945798606,1,-2.992370099475787,-2.631530523300171,0.360839576175616,960,0,0,1,-1.013469631980574,1,-0.3999999999999999,1.5845913434455368,1,1.5845913434455368,1,1,1.5845913434455368,0.7177910302339983,1246,7.1284959456800365,57,13,2,-6.8679744089702925,0.0,0.0,-0.764930231613107
70,2,10,True,3,-0.9107050771468062,3,3,0,0.948683298050514,-2.598060975426111,2.037621039635e-16,1.6873558982793049,0,0.0,0.0,0,-2.994187468849553,-2.4216790199279785,0.5725084489215746,47,47,47,3,-1.1476579395368571,0,0.948683298050514,1.4504030358892537,0,0.0,0,0,0.0,0.0,54,4.007333185232471,60,12,1,0.0,3.871201010907891,3.871201010907891,0.0
71,2,11,True,3,-0.8870887091279259,1,0,1,0.3999999999999999,-2.598060975426111,2.037621039635e-16,1.7109722662981848,1,1.7109722662981848,0.7274242818619922,1,-2.994117157276494,-2.424781084060669,0.5693360732158252,10,11,10,1,-1.127430344009004,1,0.1999999999999999,1.470630631417107,1,1.470630631417107,1,1,1.470630631417107,0.6661689024018338,63,4.1588830833596715,59,11,3,0.08701137698962969,2.4849066497880004,2.3978952727983707,-0.05355110764503479
