epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-3.9357000000000024,0.11156485925236506,0.36,0.02146625258399798,0.44,0.022199099080818574,0.224,0.018645321128905237,0.312,0.06310269397174526,0.5487006543577672
10,-3.785580000000002,0.11408801395063385,0.378,0.02168483340955148,0.472,0.022325590697672478,0.252,0.019416281827373642,0.3385,0.0897474267605327,0.5541978992192429
15,-3.777140000000002,0.11393243278715691,0.382,0.02172905888436036,0.472,0.022325590697672478,0.276,0.01999119806314769,0.35150000000000003,0.1382364762480407,0.6058416820580497
20,-3.6735800000000025,0.118885455658798,0.388,0.021792475765731623,0.476,0.02233490541730589,0.204,0.018021320706318948,0.318,0.1503381707981792,0.605862504163665
25,-3.5349800000000022,0.12029012760488712,0.406,0.021961967125009547,0.478,0.0223390241505756,0.276,0.01999119806314769,0.359,0.1565683055752596,0.6114343896956874
30,-3.2676600000000025,0.12756408212659245,0.414,0.0220274374360705,0.506,0.02235906974809104,0.276,0.01999119806314769,0.368,0.16063463232556954,0.61310512102391
35,-3.2676600000000025,0.12756408212659245,0.414,0.0220274374360705,0.506,0.02235906974809104,0.276,0.01999119806314769,0.368,0.16183443798478944,0.6101107026123985
40,-3.2782000000000027,0.1276717726045974,0.41,0.02199545407578575,0.506,0.02235906974809104,0.248,0.019313000802568203,0.353,0.16315189505104527,0.6210744860537307
45,-3.2235800000000028,0.1278828102881698,0.418,0.02205792374635473,0.524,0.02233490541730589,0.228,0.018762515822778138,0.3495,0.16073769280385086,0.618708831465145
50,-3.7837600000000022,0.11403960244055582,0.38,0.021707141681944216,0.472,0.022325590697672478,0.226,0.01870422412183943,0.326,0.16573529819851118,0.6199409885715018
55,-3.2534000000000023,0.12800676888352439,0.412,0.02201163328787757,0.506,0.02235906974809104,0.27,0.019854470529329156,0.3645,0.16706361183938423,0.6180782817175264
60,-3.7881800000000023,0.11416812941972916,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.1679620512646028,0.620860769953352
65,-3.172280000000003,0.12764347849851174,0.43,0.022140460699813815,0.526,0.022330427671677047,0.272,0.019900552756142227,0.375,0.17441051101585292,0.6200464430105831
70,-3.2513000000000027,0.1281043083584624,0.412,0.02201163328787757,0.506,0.02235906974809104,0.27,0.019854470529329156,0.3645,0.1808900005547455,0.6161604009325271
75,-3.172280000000003,0.12764347849851174,0.43,0.022140460699813815,0.526,0.022330427671677047,0.272,0.019900552756142227,0.375,0.1833397754152412,0.6217837423792564
80,-3.1733600000000024,0.1283781438594593,0.43,0.022140460699813815,0.528,0.022325590697672478,0.272,0.019900552756142227,0.3755,0.1868003668176448,0.6198465926841159
85,-3.7806000000000024,0.11413922761259614,0.384,0.02175058619899703,0.472,0.022325590697672478,0.272,0.019900552756142227,0.35,0.18421946607248513,0.6201853485996337
90,-3.928040000000003,0.10998061791424898,0.376,0.021662132858977667,0.454,0.022265848288354075,0.272,0.019900552756142227,0.3435,0.18414196859828025,0.6189723056069862
95,-3.746240000000002,0.11444680390819145,0.388,0.021792475765731623,0.486,0.022351912669836556,0.232,0.018877287940803362,0.3345,0.1896596886861943,0.6196443554226364
100,-3.2753600000000023,0.12902044853743155,0.406,0.021961967125009547,0.5,0.022360679774997897,0.272,0.019900552756142227,0.36250000000000004,0.1909061160265521,0.6218414950034773
105,-3.256880000000003,0.12799027045521869,0.412,0.02201163328787757,0.496,0.022359964221796064,0.272,0.019900552756142227,0.363,0.192831310370196,0.6201643558513805
110,-3.6342200000000022,0.1135138369680103,0.424,0.02210085971178497,0.518,0.022346185356789647,0.32,0.020861447696648473,0.39549999999999996,0.1907082722497857,0.6214324931240021
115,-3.0898600000000025,0.12644187423792808,0.458,0.022281651644346298,0.558,0.022209727598509622,0.32,0.020861447696648473,0.41400000000000003,0.19299616093325508,0.6192460421718595
120,-3.2420800000000027,0.1278529191970212,0.422,0.022086919205719934,0.508,0.022357817424784557,0.318,0.020826713614970557,0.39149999999999996,0.19980488961931225,0.6280986219930924
125,-3.7141000000000024,0.11383766503227315,0.404,0.021944657664224338,0.486,0.022351912669836556,0.318,0.020826713614970557,0.3815,0.20066556201807434,0.6297240873546954
130,-3.729380000000002,0.11447415617160069,0.388,0.021792475765731623,0.474,0.022330427671677047,0.272,0.019900552756142227,0.35150000000000003,0.20564345618343596,0.6269879011600771
135,-3.4513600000000024,0.11728841503234674,0.434,0.02216501748251059,0.504,0.022359964221796064,0.318,0.020826713614970557,0.39349999999999996,0.20298013015674674,0.6301755865440393
140,-3.1903400000000026,0.12808740206905606,0.43,0.022140460699813815,0.516,0.022349228174592516,0.32,0.020861447696648473,0.39649999999999996,0.21785856730887557,0.6365081071853638
145,-3.1962800000000025,0.12770046328498588,0.43,0.022140460699813815,0.514,0.022351912669836556,0.32,0.020861447696648473,0.396,0.21880062552578247,0.6395643005991196
150,-3.1214800000000023,0.12749867614685267,0.446,0.022229889788300795,0.538,0.022296008611408454,0.318,0.020826713614970557,0.405,0.21752697974920732,0.6406687126947778
155,-3.4325600000000023,0.11706488326052363,0.436,0.02217674457624473,0.512,0.022354238971613417,0.316,0.020791536739741004,0.395,0.2213631624846333,0.6479889849376251
160,-3.5717600000000025,0.11672342440487267,0.412,0.02201163328787757,0.496,0.022359964221796064,0.316,0.020791536739741004,0.385,0.22943810673763476,0.646290119453396
165,-3.8319800000000015,0.11046048596308104,0.4,0.021908902300206645,0.448,0.02223942445298439,0.318,0.020826713614970557,0.371,0.22589455107746026,0.6442267945147263
170,-3.5817200000000025,0.11698007900151215,0.412,0.02201163328787757,0.496,0.022359964221796064,0.316,0.020791536739741004,0.385,0.2312499230046214,0.6440870967299261
175,-3.5802000000000027,0.11571379485610185,0.42,0.02207260745811423,0.496,0.022359964221796064,0.318,0.020826713614970557,0.388,0.2317349270778463,0.6427259245871887
180,-3.8462800000000015,0.11049466377703508,0.392,0.021832819332372078,0.45,0.022248595461286987,0.318,0.020826713614970557,0.36950000000000005,0.23282582048878006,0.6409695300057024
185,-3.917600000000002,0.11081498310246689,0.376,0.021662132858977667,0.436,0.02217674457624473,0.318,0.020826713614970557,0.362,0.23131398450938803,0.6411848468401736
190,-3.8462800000000015,0.11049466377703508,0.392,0.021832819332372078,0.448,0.02223942445298439,0.318,0.020826713614970557,0.369,0.23152018245369252,0.6413528385412838
195,-3.8831600000000024,0.10833863590058733,0.382,0.02172905888436036,0.484,0.022349228174592516,0.22,0.018525657883055057,0.3265,0.23113958631128473,0.6394285567290962
200,-3.438460000000002,0.11668785222464259,0.44,0.022199099080818574,0.53,0.022320394261750844,0.318,0.020826713614970557,0.40149999999999997,0.23452876300135153,0.6392305334129065
205,-3.8772800000000016,0.11059565454031195,0.388,0.021792475765731623,0.45,0.022248595461286987,0.318,0.020826713614970557,0.36850000000000005,0.2342238934050761,0.6404409136701897
210,-4.2608200000000025,0.0980008441555481,0.344,0.02124448163641561,0.398,0.02189045454073533,0.22,0.018525657883055057,0.2955,0.2324285544908482,0.6387972671736669
